                       b'USER32.dll'                 b'CharUpperBuffW'
b'api-ms-win-crt-runtime-l1-1-0.dll'       b'_initialize_onexit_table'
b'api-ms-win-crt-runtime-l1-1-0.dll'          b'_execute_onexit_table'
b'api-ms-win-crt-runtime-l1-1-0.dll'         b'_configure_narrow_argv'
b'api-ms-win-crt-runtime-l1-1-0.dll'                         b'_cexit'
b'api-ms-win-crt-runtime-l1-1-0.dll'                b'_seh_filter_dll'
b'api-ms-win-crt-runtime-l1-1-0.dll'                    b'_initterm_e'
b'api-ms-win-crt-runtime-l1-1-0.dll'                   b'_endthreadex'
b'api-ms-win-crt-runtime-l1-1-0.dll'                 b'_beginthreadex'
b'api-ms-win-crt-runtime-l1-1-0.dll'                         b'_errno'
b'api-ms-win-crt-runtime-l1-1-0.dll'                       b'_wassert'
b'api-ms-win-crt-runtime-l1-1-0.dll'                      b'_initterm'
 b'api-ms-win-crt-string-l1-1-0.dll'                      b'_wcsnicmp'
 b'api-ms-win-crt-string-l1-1-0.dll'                       b'_wcsicmp'
 b'api-ms-win-crt-string-l1-1-0.dll'                       b'towupper'
