                                   b'XmlLite.dll'                              b'CreateXmlReader'
               b'api-ms-win-core-heap-l1-2-0.dll'                                     b'HeapFree'
               b'api-ms-win-core-heap-l1-2-0.dll'                               b'GetProcessHeap'
                b'api-ms-win-core-com-l1-1-1.dll'                           b'CoGetApartmentType'
                b'api-ms-win-core-com-l1-1-1.dll'                          b'CoSwitchCallContext'
                b'api-ms-win-core-com-l1-1-1.dll'                               b'CoGetCallerTID'
                b'api-ms-win-core-com-l1-1-1.dll'                b'CoCreateFreeThreadedMarshaler'
                b'api-ms-win-core-com-l1-1-1.dll'                                  b'CoGetMalloc'
                b'api-ms-win-core-com-l1-1-1.dll'                                b'CoTaskMemFree'
                b'api-ms-win-core-com-l1-1-1.dll'                             b'CoCreateInstance'
                b'api-ms-win-core-com-l1-1-1.dll'                               b'CoInitializeEx'
                b'api-ms-win-core-com-l1-1-1.dll'                           b'CoMarshalInterface'
                b'api-ms-win-core-com-l1-1-1.dll'                        b'CreateStreamOnHGlobal'
                b'api-ms-win-core-com-l1-1-1.dll'                     b'CoWaitForMultipleHandles'
                b'api-ms-win-core-com-l1-1-1.dll'                         b'CoReleaseMarshalData'
                b'api-ms-win-core-com-l1-1-1.dll'                             b'CoTaskMemRealloc'
                b'api-ms-win-core-com-l1-1-1.dll'               b'CoGetInterfaceAndReleaseStream'
                b'api-ms-win-core-com-l1-1-1.dll'                             b'CoGetCallContext'
                b'api-ms-win-core-com-l1-1-1.dll'                          b'RoGetAgileReference'
                b'api-ms-win-core-com-l1-1-1.dll'                               b'CoUninitialize'
                b'api-ms-win-core-com-l1-1-1.dll'                               b'CoTaskMemAlloc'
         b'api-ms-win-core-threadpool-l1-2-0.dll'                        b'CreateThreadpoolTimer'
         b'api-ms-win-core-threadpool-l1-2-0.dll'                           b'SetThreadpoolTimer'
         b'api-ms-win-core-threadpool-l1-2-0.dll'              b'WaitForThreadpoolTimerCallbacks'
         b'api-ms-win-core-threadpool-l1-2-0.dll'               b'FreeLibraryWhenCallbackReturns'
         b'api-ms-win-core-threadpool-l1-2-0.dll'                           b'CallbackMayRunLong'
         b'api-ms-win-core-threadpool-l1-2-0.dll'                  b'TrySubmitThreadpoolCallback'
         b'api-ms-win-core-threadpool-l1-2-0.dll'                         b'CloseThreadpoolTimer'
      b'api-ms-win-core-errorhandling-l1-1-1.dll'                  b'SetUnhandledExceptionFilter'
      b'api-ms-win-core-errorhandling-l1-1-1.dll'                     b'UnhandledExceptionFilter'
      b'api-ms-win-core-errorhandling-l1-1-1.dll'                                 b'SetLastError'
      b'api-ms-win-core-errorhandling-l1-1-1.dll'                                 b'GetLastError'
      b'api-ms-win-core-errorhandling-l1-1-1.dll'                               b'RaiseException'
             b'api-ms-win-core-handle-l1-1-0.dll'                                  b'CloseHandle'
             b'api-ms-win-core-handle-l1-1-0.dll'                              b'DuplicateHandle'
              b'api-ms-win-core-winrt-l1-1-0.dll'                       b'RoGetActivationFactory'
              b'api-ms-win-core-winrt-l1-1-0.dll'                           b'RoActivateInstance'
    b'api-ms-win-rtcore-ntuser-window-l1-1-0.dll'                     b'AllowSetForegroundWindow'
    b'api-ms-win-rtcore-ntuser-window-l1-1-0.dll'                           b'PostThreadMessageW'
           b'api-ms-win-shcore-thread-l1-1-0.dll'                               b'SHSetThreadRef'
           b'api-ms-win-shcore-thread-l1-1-0.dll'                            b'SHCreateThreadRef'
           b'api-ms-win-shcore-thread-l1-1-0.dll'                               b'SHGetThreadRef'
            b'api-ms-win-core-sysinfo-l1-2-1.dll'                      b'GetSystemTimeAsFileTime'
            b'api-ms-win-core-sysinfo-l1-2-1.dll'                                 b'GetTickCount'
              b'api-ms-win-core-synch-l1-2-1.dll'                             b'CreateSemaphoreW'
   b'api-ms-win-core-shlwapi-obsolete-l1-2-0.dll'                                     b'QISearch'
        b'api-ms-win-core-com-private-l1-1-0.dll'                      b'CoRegisterInitializeSpy'
        b'api-ms-win-core-com-private-l1-1-0.dll'                        b'CoRevokeInitializeSpy'
       b'api-ms-win-shcore-comhelpers-l1-1-0.dll'                                 b'IUnknown_Set'
b'api-ms-win-storage-exports-external-l1-1-0.dll' b'STORAGE_CStorageItem_GetValidatedStorageItem'
               b'api-ms-win-core-heap-l2-1-0.dll'                                    b'LocalFree'
               b'api-ms-win-core-heap-l2-1-0.dll'                                   b'LocalAlloc'
           b'api-ms-win-security-base-l1-2-0.dll'                             b'DuplicateTokenEx'
           b'api-ms-win-security-base-l1-2-0.dll'                          b'GetTokenInformation'
           b'api-ms-win-security-base-l1-2-0.dll'                                 b'GetLengthSid'
           b'api-ms-win-security-base-l1-2-0.dll'                                      b'CopySid'
           b'api-ms-win-core-registry-l1-1-0.dll'                                b'RegOpenKeyExW'
           b'api-ms-win-core-registry-l1-1-0.dll'                                 b'RegGetValueW'
           b'api-ms-win-core-registry-l1-1-0.dll'                                  b'RegCloseKey'
           b'api-ms-win-core-registry-l1-1-0.dll'                             b'RegQueryValueExW'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient10'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                        b'ObjectStublessClient9'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                        b'ObjectStublessClient8'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                        b'ObjectStublessClient6'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                        b'ObjectStublessClient4'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                    b'CStdStubBuffer2_CountRefs'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient22'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient18'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                        b'ObjectStublessClient5'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient13'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                        b'ObjectStublessClient7'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                        b'ObjectStublessClient3'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient20'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient15'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient11'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient14'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'CStdStubBuffer2_Disconnect'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'               b'CStdStubBuffer2_QueryInterface'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient12'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient19'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                  b'NdrProxyForwardingFunction4'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                  b'NdrProxyForwardingFunction5'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient16'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient21'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                  b'NdrProxyForwardingFunction3'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                      b'CStdStubBuffer2_Connect'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                       b'ObjectStublessClient17'
     b'api-ms-win-core-winrt-robuffer-l1-1-0.dll'                         b'RoGetBufferMarshaler'
                                   b'CRYPT32.dll'                   b'CertFreeCertificateContext'
                                   b'CRYPT32.dll'                                b'CertOpenStore'
                                   b'CRYPT32.dll'                               b'CertCloseStore'
                                   b'CRYPT32.dll'                                b'CertSaveStore'
                                   b'CRYPT32.dll'             b'CertAddCertificateContextToStore'
                                   b'CRYPT32.dll'                 b'CertCreateCertificateContext'
                                   b'CRYPT32.dll'                   b'CertFindCertificateInStore'
                                   b'CRYPT32.dll'              b'CertAddSerializedElementToStore'
                                   b'CRYPT32.dll'                       b'CertCompareIntegerBlob'
     b'api-ms-win-core-shlwapi-legacy-l1-1-0.dll'                              b'PathFileExistsW'
           b'api-ms-win-shcore-stream-l1-1-0.dll'                       b'SHCreateStreamOnFileEx'
             b'api-ms-win-core-string-l1-1-0.dll'                         b'CompareStringOrdinal'
                                    b'msvcrt.dll'                                  b'__dllonexit'
                                    b'msvcrt.dll'                                      b'_unlock'
                                    b'msvcrt.dll'                                        b'_lock'
                                    b'msvcrt.dll'                         b'__C_specific_handler'
                                    b'msvcrt.dll'                                    b'_initterm'
                                    b'msvcrt.dll'                                   b'_amsg_exit'
                                    b'msvcrt.dll'                                  b'_XcptFilter'
                                    b'msvcrt.dll'                  b'?what@exception@@UEBAPEBDXZ'
                                    b'msvcrt.dll'                                      b'_onexit'
                                    b'msvcrt.dll'                 b'??0exception@@QEAA@AEBQEBD@Z'
                                    b'msvcrt.dll'                                       b'memcpy'
                                    b'msvcrt.dll'                        b'??1type_info@@UEAA@XZ'
                                    b'msvcrt.dll'                           b'_CxxThrowException'
                                    b'msvcrt.dll'                                    b'_callnewh'
                                    b'msvcrt.dll'                                      b'wcscspn'
                                    b'msvcrt.dll'                                     b'wcstok_s'
                                    b'msvcrt.dll'                b'??0exception@@QEAA@AEBQEBDH@Z'
                                    b'msvcrt.dll'                            b'?terminate@@YAXXZ'
                                    b'msvcrt.dll'                                     b'towupper'
                                    b'msvcrt.dll'                                        b'_wtoi'
                                    b'msvcrt.dll'                                     b'_wcsicmp'
                                    b'msvcrt.dll'                                       b'memset'
                                    b'msvcrt.dll'                                       b'wcscmp'
                                    b'msvcrt.dll'                                       b'memcmp'
                                    b'msvcrt.dll'                           b'__CxxFrameHandler3'
                                    b'msvcrt.dll'                               b'??_V@YAXPEAX@Z'
                                    b'msvcrt.dll'                                b'??3@YAXPEAX@Z'
                                    b'msvcrt.dll'                                   b'swprintf_s'
                                    b'msvcrt.dll'                                 b'_vsnprintf_s'
                                    b'msvcrt.dll'                  b'??0exception@@QEAA@AEBV0@@Z'
                                    b'msvcrt.dll'                        b'??0exception@@QEAA@XZ'
                                    b'msvcrt.dll'                        b'??1exception@@UEAA@XZ'
                                    b'msvcrt.dll'                                      b'realloc'
                                    b'msvcrt.dll'                                    b'memmove_s'
                                    b'msvcrt.dll'                                    b'_purecall'
                                    b'msvcrt.dll'                                       b'malloc'
                                    b'msvcrt.dll'                                  b'_vsnwprintf'
                                    b'msvcrt.dll'                                         b'free'
                                    b'msvcrt.dll'                                      b'memmove'
                                    b'msvcrt.dll'                                     b'memcpy_s'
           b'api-ms-win-security-sddl-l1-1-0.dll'                       b'ConvertSidToStringSidW'
          b'api-ms-win-core-delayload-l1-1-1.dll'                         b'DelayLoadFailureHook'
          b'api-ms-win-core-delayload-l1-1-1.dll'                        b'ResolveDelayLoadedAPI'
         b'api-ms-win-core-rtlsupport-l1-2-0.dll'                             b'RtlVirtualUnwind'
         b'api-ms-win-core-rtlsupport-l1-2-0.dll'                            b'RtlCaptureContext'
         b'api-ms-win-core-rtlsupport-l1-2-0.dll'                       b'RtlLookupFunctionEntry'
            b'api-ms-win-core-profile-l1-1-0.dll'                      b'QueryPerformanceCounter'
        b'api-ms-win-appmodel-runtime-l1-1-1.dll'                   b'GetPackagesByPackageFamily'
        b'api-ms-win-appmodel-runtime-l1-1-1.dll'                           b'GetPackageFullName'
        b'api-ms-win-appmodel-runtime-l1-1-1.dll'                         b'GetPackageFamilyName'
     b'api-ms-win-security-capability-l1-1-0.dll'                              b'CapabilityCheck'
